# Copyright (C) 1991-2013 Altera Corporation
# Your use of Altera Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Altera Program License 
# Subscription Agreement, Altera MegaCore Function License 
# Agreement, or other applicable license agreement, including, 
# without limitation, that your use is for the sole purpose of 
# programming logic devices manufactured by Altera and sold by 
# Altera or its authorized distributors.  Please refer to the 
# applicable agreement for further details.

# Quartus II 64-Bit Version 13.0.0 Build 156 04/24/2013 SJ Web Edition
# File: C:\Users\Mewa\Desktop\workingrepo\game_display\uarttest\uarttestTLE.csv
# Generated on: Sat Jun 29 18:16:23 2019

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus II software.

To,Direction,Location,I/O Bank,VREF Group,I/O Standard,Reserved,Current Strength,Differential Pair
LEDS[7],Output,PIN_Y21,6,B6_N1,,,,
LEDS[6],Output,PIN_Y22,6,B6_N1,,,,
LEDS[5],Output,PIN_W21,6,B6_N1,,,,
LEDS[4],Output,PIN_W22,6,B6_N1,,,,
LEDS[3],Output,PIN_V21,6,B6_N1,,,,
LEDS[2],Output,PIN_V22,6,B6_N1,,,,
LEDS[1],Output,PIN_U21,6,B6_N1,,,,
LEDS[0],Output,PIN_U22,6,B6_N1,,,,
clk50,Input,PIN_L1,2,B2_N1,,,,
rst_n,Input,PIN_L22,5,B5_N1,,,,
rx_in,Input,PIN_A13,4,B4_N1,,,,
