# Copyright (C) 2018  Intel Corporation. All rights reserved.
# Your use of Intel Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Intel Program License 
# Subscription Agreement, the Intel Quartus Prime License Agreement,
# the Intel FPGA IP License Agreement, or other applicable license
# agreement, including, without limitation, that your use is for
# the sole purpose of programming logic devices manufactured by
# Intel and sold by Intel or its authorized distributors.  Please
# refer to the applicable agreement for further details.

# Quartus Prime Version 18.1.0 Build 625 09/12/2018 SJ Lite Edition
# File: C:\Mewantha\University\IEEE Arduino Workshop\working\game_display_PinMapping.csv
# Generated on: Fri Feb 08 21:38:03 2019

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus Prime software.

To,Direction,Location,I/O Bank,VREF Group,Fitter Location,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair,Strict Preservation
CLOCK_50,Input,PIN_R8,3,B3_N0,PIN_R8,2.5 V,,,,,
LED[7],Output,PIN_L3,2,B2_N0,PIN_L3,2.5 V,,,,,
LED[6],Output,PIN_B1,1,B1_N0,PIN_B1,2.5 V,,,,,
LED[5],Output,PIN_F3,1,B1_N0,PIN_F3,2.5 V,,,,,
LED[4],Output,PIN_D1,1,B1_N0,PIN_D1,2.5 V,,,,,
LED[3],Output,PIN_A11,7,B7_N0,PIN_A11,2.5 V,,,,,
LED[2],Output,PIN_B13,7,B7_N0,PIN_B13,2.5 V,,,,,
LED[1],Output,PIN_A13,7,B7_N0,PIN_A13,2.5 V,,,,,
LED[0],Output,PIN_A15,7,B7_N0,PIN_A15,2.5 V,,,,,
VGA_BLUE,Output,PIN_T15,4,B4_N0,PIN_T15,2.5 V,,,,,
VGA_GREEN,Output,PIN_T13,4,B4_N0,PIN_T13,2.5 V,,,,,
VGA_HS,Output,PIN_F13,6,B6_N0,PIN_F13,2.5 V,,,,,
VGA_RED,Output,PIN_T12,4,B4_N0,PIN_T12,2.5 V,,,,,
VGA_VS,Output,PIN_T11,4,B4_N0,PIN_T11,2.5 V,,,,,
rst_n,Input,PIN_J15,5,B5_N0,PIN_J15,2.5 V,,,,,
uart_baud[3],Input,PIN_M15,5,B5_N0,PIN_M15,2.5 V,,,,,
uart_baud[2],Input,PIN_B9,7,B7_N0,PIN_B9,2.5 V,,,,,
uart_baud[1],Input,PIN_T8,3,B3_N0,PIN_T8,2.5 V,,,,,
uart_baud[0],Input,PIN_M1,2,B2_N0,PIN_M1,2.5 V,,,,,
uart_rx_i,Input,PIN_N14,5,B5_N0,PIN_N14,2.5 V,,,,,
uart_tx_o,Output,PIN_P14,4,B4_N0,PIN_P14,2.5 V,,,,,
xminus,Input,PIN_R10,4,B4_N0,PIN_R10,2.5 V,,,,,
xplus,Input,PIN_R11,4,B4_N0,PIN_R11,2.5 V,,,,,
yminus,Input,PIN_N11,4,B4_N0,PIN_N11,2.5 V,,,,,
yplus,Input,PIN_P9,4,B4_N0,PIN_P9,2.5 V,,,,,
trig,Unknown,PIN_E1,1,B1_N0,,,,,,,
