# Copyright (C) 2018  Intel Corporation. All rights reserved.
# Your use of Intel Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Intel Program License 
# Subscription Agreement, the Intel Quartus Prime License Agreement,
# the Intel FPGA IP License Agreement, or other applicable license
# agreement, including, without limitation, that your use is for
# the sole purpose of programming logic devices manufactured by
# Intel and sold by Intel or its authorized distributors.  Please
# refer to the applicable agreement for further details.

# Quartus Prime Version 18.1.0 Build 625 09/12/2018 SJ Lite Edition
# File: C:\Mewantha\University\IEEE Arduino Workshop\working\game_display_de10.csv
# Generated on: Thu Feb 21 12:19:55 2019

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus Prime software.

To,Direction,Location,I/O Bank,VREF Group,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair,Transceiver Analog Settings Protocol,VCCR_GXB/VCCT_GXB Voltage,Transceiver I/O Pin Termination,Transceiver Dedicated Refclk Pin Termination,Transmitter Common Mode Driver Voltage,Transmitter Slew Rate Control,Transmitter Differential Output Voltage,Receiver Buffer Common Mode Voltage,Strict Preservation
CLOCK_50,Input,PIN_V11,3B,B3B_N0,3.3-V LVTTL,,,,,,,,,,,,,
LED[0],Output,PIN_W15,5A,B5A_N0,3.3-V LVTTL,,,,,,,,,,,,,
LED[1],Output,PIN_AA24,5A,B5A_N0,3.3-V LVTTL,,,,,,,,,,,,,
LED[2],Output,PIN_V16,5A,B5A_N0,3.3-V LVTTL,,,,,,,,,,,,,
LED[3],Output,PIN_V15,5A,B5A_N0,3.3-V LVTTL,,,,,,,,,,,,,
LED[4],Output,PIN_AF26,5A,B5A_N0,3.3-V LVTTL,,,,,,,,,,,,,
LED[5],Output,PIN_AE26,5A,B5A_N0,3.3-V LVTTL,,,,,,,,,,,,,
LED[6],Output,PIN_Y16,5A,B5A_N0,3.3-V LVTTL,,,,,,,,,,,,,
LED[7],Output,PIN_AA23,5A,B5A_N0,3.3-V LVTTL,,,,,,,,,,,,,
VGA_BLUE,Output,PIN_V12,3B,B3B_N0,3.3-V LVTTL,,,,,,,,,,,,,
VGA_GREEN,Output,PIN_E8,8A,B8A_N0,3.3-V LVTTL,,,,,,,,,,,,,
VGA_HS,Output,PIN_D11,8A,B8A_N0,3.3-V LVTTL,,,,,,,,,,,,,
VGA_RED,Output,PIN_W12,3B,B3B_N0,3.3-V LVTTL,,,,,,,,,,,,,
VGA_VS,Output,PIN_D8,8A,B8A_N0,3.3-V LVTTL,,,,,,,,,,,,,
rst_n,Input,PIN_Y24,5B,B5B_N0,3.3-V LVTTL,,,,,,,,,,,,,
uart_baud[0],Input,,,,3.3-V LVTTL,,,,,,,,,,,,,
uart_baud[1],Input,,,,3.3-V LVTTL,,,,,,,,,,,,,
uart_baud[2],Input,,,,3.3-V LVTTL,,,,,,,,,,,,,
uart_baud[3],Input,,,,3.3-V LVTTL,,,,,,,,,,,,,
uart_rx_i,Input,,,,3.3-V LVTTL,,,,,,,,,,,,,
uart_tx_o,Output,,,,3.3-V LVTTL,,,,,,,,,,,,,
xminus,Input,,,,3.3-V LVTTL,,,,,,,,,,,,,
xplus,Input,,,,3.3-V LVTTL,,,,,,,,,,,,,
yminus,Input,,,,3.3-V LVTTL,,,,,,,,,,,,,
yplus,Input,,,,3.3-V LVTTL,,,,,,,,,,,,,
